municipio;pessoas;mortos;feridos_leves;feridos_graves;ignorados;feridos;veiculos;freq;share_tracado_via_tipo_1;share_tracado_via_tipo_2;share_is_night;share_is_weekend;share_is_single_lane;cluster
sao jose da vitoria;1571;65;1317;140;49;533;987;788;0.210659898477157;0.786802030456853;0.267766497461929;0.428934010152284;0.99746192893401;4
abadia de goias;1502;26;1241;184;51;575;1127;786;0.778625954198473;0.197201017811705;0.38676844783715;0.510178117048346;0.486005089058524;2
simao pereira;1268;13;1169;68;18;442;1015;785;0.380891719745223;0.611464968152866;0.337579617834395;0.540127388535032;0.0267515923566879;2
barra do ribeiro;1889;56;1642;153;38;489;1397;784;0.808673469387755;0.160714285714286;0.392857142857143;0.497448979591837;0.984693877551021;5
guarai;1794;46;1496;189;63;630;1320;782;0.868286445012788;0.117647058823529;0.40153452685422;0.489769820971867;0.746803069053708;5
jacarezinho;1605;32;1384;138;51;552;1228;781;0.653008962868118;0.330345710627401;0.428937259923175;0.486555697823303;0.836107554417414;5
sao goncalo do abaete;1688;60;1412;177;39;692;1084;781;0.673495518565941;0.314980793854033;0.371318822023047;0.487836107554417;0.979513444302177;5
alto araguaia;1566;36;1443;71;16;381;1327;780;0.676923076923077;0.3;0.341025641025641;0.448717948717949;0.785897435897436;5
altos;1657;101;1211;260;85;590;1361;779;0.771501925545571;0.223363286264442;0.454428754813864;0.503209242618742;0.985879332477535;5
atalaia;1759;83;1270;282;124;714;1243;778;0.591259640102828;0.397172236503856;0.397172236503856;0.497429305912596;0.984575835475578;4
agua clara;1838;32;1638;139;29;553;1149;777;0.908622908622909;0.0823680823680824;0.406692406692407;0.478764478764479;0.925353925353925;5
itapemirim;1384;38;1174;114;58;424;1190;775;0.433548387096774;0.561290322580645;0.387096774193548;0.424516129032258;0.990967741935484;4
pocone;1530;71;1256;173;30;507;1054;775;0.64258064516129;0.344516129032258;0.303225806451613;0.481290322580645;0.981935483870968;5
satuba;1893;43;1475;247;128;739;1345;774;0.543927648578811;0.445736434108527;0.351421188630491;0.465116279069768;0.98062015503876;4
inhapim;1670;81;1305;241;43;722;1253;773;0.486416558861578;0.503234152652005;0.415265200517464;0.540750323415265;0.954721862871927;4
cocalzinho de goias;1883;126;1323;324;110;917;1184;769;0.642392717815345;0.334200260078023;0.400520156046814;0.563068920676203;0.936280884265279;2
bocaina do sul;1505;53;1261;163;28;635;1072;767;0.401564537157758;0.590612777053455;0.342894393741851;0.514993481095176;0.994784876140808;4
corupa;1550;35;1264;207;44;738;1200;764;0.407068062827225;0.565445026178011;0.407068062827225;0.514397905759162;0.976439790575916;4
ibirapitanga;1591;119;1199;190;82;628;1023;763;0.27129750982962;0.72870249017038;0.296199213630406;0.437745740498034;0.998689384010485;4
jaguaruna;1495;39;1329;88;39;577;1206;761;0.754270696452037;0.226018396846255;0.442838370565046;0.511169513797635;0.392904073587385;2
rodeio;1672;35;1423;172;42;750;1333;761;0.490144546649146;0.503285151116951;0.42838370565046;0.52299605781866;0.997371879106439;4
sao bento do sul;1473;20;1287;143;23;660;1152;761;0.299605781865966;0.674113009198423;0.391590013140605;0.526938239159001;0.969776609724047;4
santa luzia;1700;106;1254;237;103;670;1137;758;0.585751978891821;0.394459102902375;0.412928759894459;0.473614775725594;0.969656992084433;4
pinhalzinho;1618;53;1315;204;46;617;1309;752;0.546542553191489;0.440159574468085;0.418882978723404;0.50531914893617;0.99468085106383;4
itaitinga;1550;31;1226;174;119;515;1251;751;0.81358189081225;0.173102529960053;0.33288948069241;0.460719041278296;0.0439414114513981;2
trombudo central;1729;48;1472;163;46;633;1355;751;0.471371504660453;0.520639147802929;0.378162450066578;0.487350199733688;0.993342210386152;4
pombos;1646;73;1275;184;114;508;1267;750;0.76;0.226666666666667;0.345333333333333;0.457333333333333;0.292;2
jaraguari;1896;53;1660;147;36;501;1230;749;0.899866488651535;0.096128170894526;0.41388518024032;0.4913217623498;0.921228304405875;5
rialma;1849;106;1414;270;59;776;1214;742;0.733153638814016;0.247978436657682;0.384097035040431;0.467654986522911;0.964959568733154;5
planalto;1789;72;1480;163;74;581;1261;740;0.772972972972973;0.209459459459459;0.405405405405405;0.512162162162162;0.97027027027027;5
cristiano otoni;1488;46;1263;121;58;559;1061;739;0.445196211096076;0.534506089309878;0.322056833558863;0.512855209742896;0.617050067658999;4
itaberaba;1715;58;1469;130;58;617;1000;728;0.630494505494506;0.357142857142857;0.409340659340659;0.473901098901099;0.986263736263736;5
comendador levy gasparian;1258;18;1178;41;21;279;852;727;0.225584594222834;0.770288858321871;0.334250343878955;0.492434662998624;0.0852819807427786;2
matias barbosa;1305;21;1151;89;44;466;1024;726;0.495867768595041;0.494490358126722;0.400826446280992;0.49862258953168;0.068870523415978;2
uniao dos palmares;1612;79;1005;409;119;831;1145;724;0.708563535911602;0.287292817679558;0.497237569060774;0.545580110497238;0.998618784530387;5
